osm_type,osm_id,nvrid,name,wikidata,lat,lon,tags
way,4222154,,Stora Flisö,,56.6502265,16.3128708,"{'boundary': 'protected_area', 'name': 'Stora Flisö', 'natural': 'coastline', 'opening_hours': 'Jul 11-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 10', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'bing'}"
way,23458110,,Tängöma,,57.8239046,12.5202288,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Tängöma', 'place': 'islet'}"
way,23458112,,Tängöma,,57.8236761,12.5216322,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Tängöma', 'place': 'islet'}"
way,23458229,,Stora Hälsarö,,57.8086879,12.5005161,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Stora Hälsarö', 'natural': 'wood', 'place': 'islet'}"
way,23458242,,Stora Hälsarö,,57.8079975,12.5012672,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Stora Hälsarö', 'natural': 'wood', 'place': 'islet'}"
way,23461850,,Ljungöarna,,57.8333898,12.5372088,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Ljungöarna', 'place': 'islet'}"
way,23461858,,Ljungöarna,,57.8335681,12.538243,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.', 'name': 'Ljungöarna', 'place': 'islet'}"
way,23461938,,,,57.8289412,12.5571601,"{'boundary': 'protected_area', 'designation': 'Fägelsk.omr.'}"
way,28759676,,Sörbåden,,58.2115774,17.061553,"{'boundary': 'protected_area', 'name': 'Sörbåden', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'landsat'}"
way,40087867,,Flötskär,,58.1860951,16.8703793,"{'boundary': 'protected_area', 'name': 'Flötskär', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
